AssetConfig_mSCOA_ID,FinYear,TypeID,CategoryID,SubCategoryID,MeasurementTypeID,StatusID,Default,Enabled,UpLoadFile,CreatedByID,CreatedDate,ModifiedByID,ModiefiedDate
1,2020/2021,4,20,NULL,1,1,NULL,1,NULL,199,2021-07-20 09:39:39.763,199,2021-07-21 15:45:05.060
2,2020/2021,4,19,140,1,1,NULL,1,NULL,199,2021-07-20 09:47:21.270,NULL,NULL
3,2020/2021,4,19,150,1,1,NULL,1,NULL,199,2021-07-20 09:57:16.667,NULL,NULL
4,2020/2021,4,13,139,1,1,NULL,1,NULL,199,2021-07-20 10:05:57.093,199,2021-07-21 11:00:59.050
5,2020/2021,4,27,133,2,NULL,NULL,1,NULL,199,2021-07-21 12:48:29.470,199,2021-07-21 14:19:13.740
6,2020/2021,4,27,134,2,NULL,NULL,1,NULL,199,2021-07-21 12:50:11.523,199,2021-07-21 14:31:49.043
7,2020/2021,4,27,142,2,NULL,NULL,1,NULL,199,2021-07-21 12:59:40.940,NULL,NULL
8,2020/2021,4,27,143,2,NULL,NULL,1,NULL,199,2021-07-21 13:04:25.183,NULL,NULL
9,2020/2021,4,27,144,2,NULL,NULL,1,NULL,199,2021-07-21 13:05:23.430,NULL,NULL
10,2020/2021,4,27,145,2,NULL,NULL,1,NULL,199,2021-07-21 13:09:28.000,NULL,NULL
11,2020/2021,4,27,146,2,NULL,NULL,1,NULL,199,2021-07-21 13:11:59.917,NULL,NULL
12,2020/2021,4,27,147,2,NULL,NULL,1,NULL,199,2021-07-21 13:14:10.993,NULL,NULL
13,2020/2021,4,27,148,2,NULL,NULL,1,NULL,199,2021-07-21 13:16:38.643,NULL,NULL
14,2020/2021,4,27,149,2,NULL,NULL,1,NULL,199,2021-07-21 13:22:23.930,NULL,NULL
15,2020/2021,4,28,131,1,NULL,NULL,1,NULL,199,2021-07-21 14:50:04.617,NULL,NULL
16,2020/2021,4,29,141,2,NULL,NULL,1,NULL,199,2021-07-21 14:59:45.083,NULL,NULL
17,2020/2021,4,29,132,2,NULL,NULL,1,NULL,199,2021-07-21 15:10:06.063,NULL,NULL
18,2020/2021,4,26,NULL,2,NULL,NULL,1,NULL,199,2021-07-21 15:31:10.107,NULL,NULL
19,2020/2021,4,27,142,1,NULL,NULL,1,NULL,199,2021-07-21 16:06:23.903,NULL,NULL
20,2021/2022,4,29,132,2,NULL,NULL,1,NULL,251,2022-06-11 13:15:45.460,251,2022-06-12 18:20:52.760
21,2021/2022,4,29,141,2,NULL,NULL,1,NULL,251,2022-06-11 14:40:04.380,251,2022-06-11 15:06:35.137
22,2021/2022,4,29,132,1,NULL,NULL,1,NULL,251,2022-06-11 15:10:46.790,251,2022-06-12 19:03:45.543
23,2021/2022,4,29,141,1,NULL,NULL,1,NULL,251,2022-06-11 15:13:12.180,251,2022-06-13 09:24:10.820
24,2021/2022,4,27,145,2,NULL,NULL,1,14062022155102mSCOA Setting Community Assets 1a.csv,251,2022-06-14 15:51:17.420,251,2022-06-21 15:31:06.660
25,2021/2022,4,14,93,2,1,NULL,1,14062022161100mSCOA Setting Variouse 1.csv,251,2022-06-14 16:11:08.853,251,2022-06-23 15:53:43.293
26,2021/2022,4,26,NULL,2,NULL,NULL,1,14062022161100mSCOA Setting Variouse 1.csv,251,2022-06-14 16:11:08.977,251,2022-06-21 14:44:57.413
27,2021/2022,4,13,139,1,1,NULL,1,14062022161100mSCOA Setting Variouse 1.csv,251,2022-06-14 16:11:09.067,251,2022-06-20 12:41:29.093
28,2021/2022,4,28,157,2,NULL,NULL,1,14062022162521mSCOA Setting Other Assets.csv,251,2022-06-14 16:25:25.573,251,2022-06-15 14:54:43.717
29,2021/2022,4,28,158,1,NULL,NULL,1,14062022162521mSCOA Setting Other Assets.csv,251,2022-06-14 16:25:25.653,251,2022-06-15 16:20:41.220
30,2021/2022,4,28,156,2,NULL,NULL,1,NULL,251,2022-06-15 12:52:53.997,251,2022-06-15 13:24:56.180
31,2021/2022,4,20,NULL,1,1,NULL,1,20062022095511mSCOA Setting Furniture_Computer E_Machinery.csv,251,2022-06-20 09:55:18.770,251,2022-06-21 13:22:31.770
32,2021/2022,4,21,138,1,1,NULL,1,20062022095511mSCOA Setting Furniture_Computer E_Machinery.csv,251,2022-06-20 09:55:18.960,251,2022-06-21 13:59:14.213
33,2021/2022,4,19,150,1,1,NULL,1,20062022095511mSCOA Setting Furniture_Computer E_Machinery.csv,251,2022-06-20 09:55:19.043,251,2022-06-21 13:07:15.863
34,2022/2023,4,21,138,1,1,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:04.507,251,2023-08-02 12:33:33.253
35,2022/2023,4,20,NULL,1,1,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:04.730,251,2023-08-02 12:27:00.380
36,2022/2023,4,19,161,1,1,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:04.897,251,2023-08-02 13:06:29.683
37,2022/2023,4,28,157,1,NULL,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:05.030,199,2023-07-13 15:10:39.867
38,2022/2023,4,29,141,1,NULL,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:05.177,251,2023-08-01 12:11:16.727
39,2022/2023,4,13,139,1,1,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:05.307,NULL,NULL
40,2022/2023,5,NULL,NULL,1,NULL,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:05.433,199,2023-07-13 15:17:59.720
41,2022/2023,4,14,93,1,1,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:05.593,251,2023-08-01 11:21:59.603
42,2022/2023,4,28,157,2,NULL,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:05.813,199,2023-07-13 15:11:57.743
43,2022/2023,4,29,141,2,NULL,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:05.953,251,2023-08-02 12:16:50.697
44,2022/2023,4,19,150,1,1,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:06.137,251,2023-08-02 12:42:37.060
45,2022/2023,4,28,131,1,NULL,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:06.663,199,2023-07-13 15:07:46.703
46,2022/2023,4,28,158,1,NULL,NULL,1,12072023150954AssetMSCOAtemplateNew_Upload.csv,199,2023-07-12 15:10:06.753,251,2023-08-07 12:11:07.830
47,2022/2023,4,27,133,2,NULL,NULL,1,1307202314515120230713_AssetMSCOAtemplateNew.csv,199,2023-07-13 14:52:08.523,199,2023-07-13 15:54:15.490
48,2022/2023,4,27,168,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:15.203,NULL,NULL
49,2022/2023,4,27,163,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:15.710,NULL,NULL
50,2022/2023,4,27,163,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:16.127,NULL,NULL
51,2022/2023,4,27,143,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:16.420,NULL,NULL
52,2022/2023,4,27,144,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:16.707,NULL,NULL
53,2022/2023,4,27,148,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:17.003,NULL,NULL
54,2022/2023,4,27,154,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:17.273,NULL,NULL
55,2022/2023,4,27,145,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:17.590,NULL,NULL
56,2022/2023,4,27,146,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:17.873,NULL,NULL
57,2022/2023,4,27,147,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:18.160,NULL,NULL
58,2022/2023,4,27,155,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:18.463,NULL,NULL
59,2022/2023,4,27,133,1,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:18.770,NULL,NULL
60,2022/2023,4,27,143,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:19.067,NULL,NULL
61,2022/2023,4,27,144,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:19.400,NULL,NULL
62,2022/2023,4,27,148,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:19.693,NULL,NULL
63,2022/2023,4,27,154,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:19.817,NULL,NULL
64,2022/2023,4,27,145,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:19.930,NULL,NULL
65,2022/2023,4,27,146,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:20.047,NULL,NULL
66,2022/2023,4,27,147,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:20.160,NULL,NULL
67,2022/2023,4,27,155,2,NULL,NULL,1,1307202315415720230713_MSCOA.csv,199,2023-07-13 15:42:20.273,NULL,NULL
68,2022/2023,3,11,124,1,1,NULL,1,NULL,251,2023-07-18 10:54:32.577,251,2023-08-13 13:34:07.760
91,2023/2024,4,13,139,1,1,NULL,1,NULL,2,2023-11-07 00:00:00.000,271,2024-07-30 22:19:30.870
92,2023/2024,4,14,93,2,1,NULL,1,NULL,2,2023-11-07 00:00:00.000,NULL,NULL
93,2023/2024,4,19,140,1,1,NULL,1,NULL,2,2023-11-07 00:00:00.000,271,2024-07-30 22:50:59.030
94,2023/2024,4,20,175,1,1,NULL,1,NULL,2,2023-11-07 00:00:00.000,271,2024-07-30 23:04:18.513
95,2023/2024,4,21,138,1,1,NULL,1,NULL,2,2023-11-07 00:00:00.000,271,2024-07-30 23:18:36.773
96,2023/2024,5,NULL,NULL,1,NULL,NULL,1,NULL,2,2023-11-07 00:00:00.000,271,2024-07-27 10:12:54.020
97,2023/2024,4,28,158,1,NULL,NULL,1,NULL,2,2023-11-07 00:00:00.000,NULL,NULL
98,2023/2024,4,27,172,2,NULL,NULL,1,NULL,2,2023-11-07 00:00:00.000,199,2024-07-27 12:47:39.130
99,2023/2024,4,29,141,2,NULL,NULL,1,NULL,2,2023-11-07 00:00:00.000,NULL,NULL
100,2023/2024,4,28,157,2,NULL,NULL,1,NULL,2,2023-11-07 00:00:00.000,271,2024-07-27 11:01:16.030
101,2023/2024,3,11,124,1,1,NULL,1,NULL,2,2023-11-07 00:00:00.000,NULL,NULL
102,2023/2024,4,27,133,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,199,2024-07-27 12:12:37.963
103,2023/2024,4,27,143,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,199,2024-07-27 14:58:32.817
104,2023/2024,4,27,144,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,199,2024-07-27 14:33:57.597
105,2023/2024,4,27,145,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,199,2024-07-27 15:21:07.193
106,2023/2024,4,27,148,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,271,2024-07-27 11:30:04.127
107,2023/2024,4,27,154,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,NULL,NULL
108,2023/2024,4,27,146,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,199,2024-07-27 13:37:25.093
109,2023/2024,4,27,163,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,NULL,NULL
110,2023/2024,4,27,147,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,NULL,NULL
111,2023/2024,4,27,155,2,NULL,NULL,1,NULL,2,2023-11-15 00:00:00.000,NULL,NULL
112,2023/2024,4,14,87,1,1,NULL,1,NULL,2,2024-02-26 00:00:00.000,NULL,NULL
113,2023/2024,4,14,94,1,1,NULL,1,NULL,2,2024-02-26 00:00:00.000,NULL,NULL
114,2023/2024,4,13,181,1,1,NULL,1,NULL,2,2024-05-07 00:00:00.000,NULL,NULL
115,2024/2025,4,13,139,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,199,2024-10-20 17:56:19.143
116,2024/2025,4,14,93,2,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,196,2025-05-13 22:03:25.613
118,2024/2025,4,20,175,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-08-05 09:29:51.353
119,2024/2025,4,21,138,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-02-20 14:13:18.710
120,2024/2025,5,NULL,NULL,1,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,196,2025-06-10 19:26:46.780
121,2024/2025,4,28,158,1,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,199,2025-04-28 17:35:27.693
123,2024/2025,4,29,141,2,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-04-10 18:04:04.343
124,2024/2025,4,28,157,2,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-06-20 15:05:30.653
125,2024/2025,3,11,124,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-06-30 08:40:00.480
126,2024/2025,4,27,NULL,2,NULL,NULL,1,NULL,2,2024-07-12 10:29:13.927,271,2025-04-10 18:16:29.933
136,2024/2025,4,14,87,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,NULL,NULL
137,2024/2025,4,14,94,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,NULL,NULL
138,2024/2025,4,13,181,1,1,NULL,1,NULL,2,2024-07-12 10:29:13.927,NULL,NULL
139,2023/2024,4,19,150,1,1,NULL,1,NULL,199,2024-07-18 21:57:32.640,199,2024-07-31 13:00:25.187
140,2023/2024,4,19,161,1,1,NULL,1,NULL,199,2024-07-18 22:09:47.630,199,2024-07-31 13:05:54.440
142,2024/2025,4,19,NULL,1,1,NULL,1,NULL,199,2024-10-16 09:15:19.337,271,2025-08-05 09:32:58.503
148,2024/2025,6,30,170,NULL,NULL,NULL,1,NULL,271,2025-01-29 12:41:06.160,271,2025-01-29 14:32:29.547
149,2025/2026,4,13,139,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
150,2025/2026,4,14,93,2,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
151,2025/2026,4,20,175,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
152,2025/2026,4,21,138,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
153,2025/2026,5,NULL,NULL,1,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
154,2025/2026,4,28,158,1,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
155,2025/2026,4,29,141,2,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
156,2025/2026,4,28,157,2,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
157,2025/2026,3,11,124,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
158,2025/2026,4,27,NULL,2,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
159,2025/2026,4,14,87,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
160,2025/2026,4,14,94,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
161,2025/2026,4,13,181,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
162,2025/2026,4,19,NULL,1,1,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
163,2025/2026,6,30,170,NULL,NULL,NULL,1,NULL,2,2025-10-01 15:32:50.513,NULL,NULL
