Inventory_ID,StoreID,CommodityID,BinLocation,UnitPrice,SellingPrice,MinimumLevel,MaximumLevel,ReorderLevel,ReorderQuantity,SlowMovingInventory,InventoryTurnover,CapturerID,DateCaptured,ModifierID,DateModified,StockLevelsRequired,SlowMovingReason,OverwrittenSellingPrice,OverwrittenBy,OverwrittenDate,PriceIndicated,Quantity,Vat,FinYear,PreferredVendor,BinNumber,BinStatusID,GrnDetailID,ScoaItemID,SCOAFunction,SCOARegion,SCOACosting,SCOAFund,SCOAProject,RunningTotal,CommodityTotalQty,CommodityWeightedAvg,CommodityWAVGchange,RequisitionGrnTranNr,DocumentNr,FIFOUnitTotal,FIFOValueTotal,FIFOTotalAmount,FIFODateCaptured,InventoryGRNDetailsID,BinCode,Department,Division,AvgPrice,ProjectId,ProjectItemId
73,2,720,NULL,25480.81,0.00,1.0000,200.0000,20.0000,150.0000,0,NULL,66,2020-12-09 12:57:53.810,1222,2025-12-12 10:58:34.643,1,NULL,NULL,NULL,NULL,0.00,78,0,2020/2021,NULL,NULL,NULL,NULL,74280,236,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2703,NULL,NULL,NULL,27893.12,NULL,NULL
112,2,745,Machinery Spare Parts (Shelf D),1108.00,NULL,1.0000,10000.0000,2.0000,100.0000,0,0.00,91,2020-12-09 19:39:34.927,70,2025-01-23 11:22:45.973,0,NULL,NULL,NULL,NULL,NULL,17,0,NULL,NULL,NULL,NULL,NULL,74280,236,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,1108.00,NULL,NULL
426,2,1133,Water Spare Parts (Shelf D),3508.17,NULL,1.0000,10000.0000,2.0000,100.0000,0,0.00,2,2022-03-08 13:22:17.267,70,2025-01-23 11:22:45.980,0,NULL,NULL,NULL,NULL,NULL,25,0,NULL,NULL,NULL,NULL,NULL,74280,236,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,3508.17,NULL,NULL
430,2,1138,Water Spare Parts (Shelf D),992.31,NULL,1.0000,10000.0000,2.0000,100.0000,0,0.00,2,2022-03-08 13:22:18.433,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,NULL,74280,236,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,992.31,NULL,NULL
538,2,1324,NULL,127159.20,0.00,1.0000,100.0000,1.0000,1.0000,0,NULL,91,2023-10-19 11:03:39.023,1228,2026-03-20 11:56:50.933,1,NULL,NULL,NULL,NULL,0.00,18,0,2023/2024,NULL,NULL,NULL,NULL,74280,300,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3202,NULL,NULL,18,157181.00,NULL,NULL
539,2,1325,NULL,214600.75,0.00,1.0000,100.0000,1.0000,1.0000,0,NULL,91,2023-10-19 11:05:44.167,1228,2026-03-20 11:56:51.040,1,NULL,NULL,NULL,NULL,0.00,3,0,2023/2024,NULL,NULL,NULL,NULL,74280,300,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2705,NULL,NULL,18,233669.00,NULL,NULL
690,3,720,NULL,25480.81,0.00,5.0000,5.0000,3.0000,3.0000,0,NULL,1137,2024-06-21 15:06:51.813,70,2024-11-14 10:14:01.370,1,NULL,NULL,NULL,NULL,0.00,1,0,2024/2025,NULL,NULL,NULL,NULL,74280,236,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28042.61,NULL,NULL
708,3,721,NULL,17400.00,0.00,1.0000,5.0000,2.0000,2.0000,0,NULL,1137,2024-06-25 15:18:54.853,70,2025-01-24 11:26:27.700,1,NULL,NULL,NULL,NULL,0.00,0,0,2024/2025,NULL,NULL,NULL,NULL,74280,236,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26691.91,NULL,NULL
824,2,1451,NULL,92520.00,0.00,10.0000,10.0000,10.0000,10.0000,0,NULL,1137,2024-07-05 15:17:45.237,1137,2024-07-11 15:36:05.417,1,NULL,NULL,NULL,NULL,0.00,6,0,2023/2024,NULL,NULL,NULL,NULL,74280,300,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2497,NULL,NULL,18,92520.00,NULL,NULL
832,2,1453,NULL,9865.00,0.00,10.0000,10.0000,10.0000,10.0000,0,NULL,1137,2024-07-05 15:30:32.610,70,2025-01-23 11:22:45.967,1,NULL,NULL,NULL,NULL,0.00,15,0,2023/2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9865.00,NULL,NULL
862,3,745,NULL,645.00,0.00,3.0000,3.0000,3.0000,3.0000,0,NULL,70,2024-09-20 07:58:45.860,NULL,NULL,1,NULL,NULL,NULL,NULL,0.00,0,0,2024/2025,NULL,NULL,NULL,NULL,74280,236,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,780.00,NULL,NULL
929,2,1529,NULL,180685.08,0.00,5.0000,10.0000,10.0000,10.0000,0,NULL,70,2024-12-17 11:14:54.200,1228,2026-03-20 11:56:51.030,1,NULL,NULL,NULL,NULL,0.00,9,0,2024/2025,NULL,NULL,NULL,NULL,74280,300,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2689,NULL,NULL,18,193928.00,NULL,NULL
935,3,1529,NULL,0.00,0.00,2.0000,5.0000,2.0000,5.0000,0,NULL,70,2025-01-24 11:25:56.927,NULL,NULL,1,NULL,NULL,NULL,NULL,0.00,0,0,2024/2025,NULL,NULL,NULL,NULL,74280,300,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,180685.08,NULL,NULL
936,3,1133,NULL,718.00,0.00,3.0000,5.0000,3.0000,5.0000,0,NULL,70,2025-01-24 11:28:45.630,NULL,NULL,1,NULL,NULL,NULL,NULL,0.00,0,0,2024/2025,NULL,NULL,NULL,NULL,74280,236,769,20,4787,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,16240.00,NULL,NULL
